StationNumber;ForkLengthinmillimeters;Location
1;97;other_site_by_the_river
1;99;other_site_by_the_river
1;103;other_site_by_the_river
1;105;other_site_by_the_river
1;106;other_site_by_the_river
1;108;other_site_by_the_river
1;109;other_site_by_the_river
1;110;other_site_by_the_river
1;112;other_site_by_the_river
2;84;other_site_by_the_river
2;86;other_site_by_the_river
2;95;other_site_by_the_river
2;98;other_site_by_the_river
2;98;other_site_by_the_river
2;99;other_site_by_the_river
2;99;other_site_by_the_river
2;101;other_site_by_the_river
2;102;other_site_by_the_river
2;102;other_site_by_the_river
2;102;other_site_by_the_river
2;103;other_site_by_the_river
2;104;other_site_by_the_river
2;104;other_site_by_the_river
2;106;other_site_by_the_river
2;106;other_site_by_the_river
2;107;other_site_by_the_river
2;107;other_site_by_the_river
2;109;other_site_by_the_river
2;109;other_site_by_the_river
2;110;other_site_by_the_river
2;111;other_site_by_the_river
2;111;other_site_by_the_river
2;111;other_site_by_the_river
2;111;other_site_by_the_river
2;112;other_site_by_the_river
2;115;other_site_by_the_river
2;115;other_site_by_the_river
2;115;other_site_by_the_river
2;116;other_site_by_the_river
2;117;other_site_by_the_river
2;118;other_site_by_the_river
2;123;other_site_by_the_river
3;71;other_site_by_the_river
3;77;other_site_by_the_river
3;82;other_site_by_the_river
3;85;other_site_by_the_river
3;86;other_site_by_the_river
3;87;other_site_by_the_river
3;89;other_site_by_the_river
3;90;other_site_by_the_river
3;97;other_site_by_the_river
3;98;other_site_by_the_river
3;100;other_site_by_the_river
3;102;other_site_by_the_river
3;102;other_site_by_the_river
3;103;other_site_by_the_river
3;103;other_site_by_the_river
3;104;other_site_by_the_river
3;105;other_site_by_the_river
3;106;other_site_by_the_river
3;107;other_site_by_the_river
3;107;other_site_by_the_river
3;107;other_site_by_the_river
3;107;other_site_by_the_river
3;108;other_site_by_the_river
3;111;other_site_by_the_river
3;111;other_site_by_the_river
3;111;other_site_by_the_river
3;112;other_site_by_the_river
3;112;other_site_by_the_river
4;70;other_site_by_the_river
4;76;other_site_by_the_river
4;78;other_site_by_the_river
4;81;other_site_by_the_river
4;82;other_site_by_the_river
4;83;other_site_by_the_river
